Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
music-core,com.sismics.util,EnvironmentUtil,6,0,10,10,85,10,0,0,0.5,3,1
music-core,com.sismics.util,NetworkUtil,1,0,1,1,37,3,0,0,0.0,1,0
music-core,com.sismics.util,MathUtil,0,0,1,1,22,3,0,0,-1.0,0,0
music-core,com.sismics.util,HttpUtil,0,0,2,2,71,7,0,0,-1.0,1,0
music-core,com.sismics.util,DateUtil,1,0,1,1,22,3,0,0,0.0,1,0
music-core,com.sismics.util,MessageUtil,0,0,2,2,32,2,0,0,-1.0,0,0
music-core,com.sismics.util,ResourceUtil,0,0,2,2,67,12,0,0,-1.0,3,1
music-core,com.sismics.util,FilenameUtil,1,0,1,1,25,3,0,0,0.0,1,0
music-core,com.sismics.util,LyricUtil,3,0,2,1,65,7,0,0,0.0,2,2
music-core,com.sismics.util,LocaleUtil,0,0,2,2,50,8,0,0,-1.0,0,3
music-core,com.sismics.util,TestLyricUtil,0,0,1,1,23,1,0,0,-1.0,0,1
music-core,com.sismics.util,TestJaudioTagger,0,0,1,1,14,1,0,0,-1.0,0,0
music-core,com.sismics.util,TestNetworkUtil,0,0,1,1,9,1,0,0,-1.0,0,1
music-core,com.sismics.util,TestResourceUtil,0,0,1,1,16,1,0,0,-1.0,0,1
music-core,com.sismics.util,TestDateUtil,0,0,1,1,9,1,0,0,-1.0,0,1
music-core,com.sismics.util.lastfm,LastFmUtil,0,0,2,2,30,2,0,0,-1.0,1,0
music-core,com.sismics.util.log4j,LogEntry,4,0,5,5,63,5,0,0,0.0,1,0
music-core,com.sismics.util.log4j,MemoryAppender,2,0,7,6,88,14,0,0,0.42857142857142855,0,3
music-core,com.sismics.util.log4j,LogCriteria,3,0,6,6,60,6,0,0,0.5,1,0
music-core,com.sismics.util.io,TranscodedInputStream,5,0,5,5,77,15,0,0,0.0,0,0
music-core,com.sismics.util.io,InputStreamReaderThread,4,0,2,2,35,4,0,0,0.0,0,0
music-core,com.sismics.util.mime,MimeType,5,5,0,0,11,0,0,0,-1.0,2,0
music-core,com.sismics.util.mime,MimeTypeUtil,0,0,1,1,44,8,0,0,-1.0,1,1
music-core,com.sismics.util.context,ThreadLocalContext,2,1,5,4,51,6,0,0,0.6,20,1
music-core,com.sismics.util.dbi,SQLSplitter,3,0,13,5,180,60,0,0,0.15384615384615385,2,1
music-core,com.sismics.util.dbi,ObjectMapper,1,1,5,3,36,5,0,0,1.0,2,1
music-core,com.sismics.util.dbi,BaseResultSetMapper,0,0,3,3,18,4,0,0,-1.0,0,0
music-core,com.sismics.util.dbi,BaseDao,0,0,5,4,45,6,0,0,-1.0,0,5
music-core,com.sismics.util.dbi,DbOpenHelper,4,0,9,7,115,18,0,0,0.2222222222222222,1,3
music-core,com.sismics.util.dbi,DBIF,3,0,6,5,82,10,0,0,0.6666666666666666,3,2
music-core,com.sismics.util.dbi.filter,FilterColumn,2,0,7,7,32,7,0,0,0.42857142857142855,0,0
music-core,com.sismics.util.dbi.filter,FilterCriteria,1,0,2,2,20,2,0,0,0.0,7,0
music-core,com.sismics.music.core.exception,NonWritableException,1,0,1,1,10,1,0,0,0.0,0,0
music-core,com.sismics.music.core.service.albumart,AlbumArtService,1,0,6,4,92,10,0,0,0.3333333333333333,1,3
music-core,com.sismics.music.core.service.albumart,AlbumArtFilenameFilter,0,0,1,1,13,2,0,0,-1.0,0,0
music-core,com.sismics.music.core.service.albumart,AlbumArtImporter,1,0,1,1,36,7,0,0,0.0,2,0
